"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-01",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-02",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-03",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-04",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-05",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-06",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-07",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-08",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-09",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-10",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-11",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-12",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-13",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-14",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-15",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-16",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-17",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-18",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-19",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-20",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-21",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-22",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-23",,,,,,,,,"0.0","T,,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-24",,,,,,,,,"0.3",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-25",,,,,,,,,"0.5",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-26",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-27",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-28",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-29",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-30",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-05-31",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-06-01",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-06-02",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-06-03",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1CAAL0003","CASTRO VALLEY 0.4 NNE, CA US","37.716904","-122.058526","163.4","2018-06-04",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
